date,fiscal_year,customer_code,market,product_code,product,variant,sold_quantity,gross_price_total,pre_invoice_discount_pct,net_invoice_sales,post_invoice_discount_pct
2017-09-01,2018,90027207,Brazil,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,4,61.58,0.2803,44.319126,0.3905
2017-11-01,2018,90027207,Brazil,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,16,246.32,0.2803,177.276504,0.4139
2017-12-01,2018,90027207,Brazil,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,4,61.58,0.2803,44.319126,0.3295
2018-01-01,2018,90027207,Brazil,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,6,92.37,0.2803,66.478689,0.3244
2018-03-01,2018,90027207,Brazil,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,9,138.56,0.2803,99.721632,0.3766
2018-04-01,2018,90027207,Brazil,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,6,92.37,0.2803,66.478689,0.3615
2018-05-01,2018,90027207,Brazil,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,7,107.77,0.2803,77.562069,0.3173
2018-07-01,2018,90027207,Brazil,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,10,153.95,0.2803,110.797815,0.3501
2018-08-01,2018,90027207,Brazil,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,6,92.37,0.2803,66.478689,0.3740
2017-09-01,2018,90023030,Canada,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,4,61.58,0.2117,48.543514,0.2863
2017-10-01,2018,90023030,Canada,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,2,30.79,0.2117,24.271757,0.2851
2017-12-01,2018,90023030,Canada,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,3,46.19,0.2117,36.411577,0.2882
2018-01-01,2018,90023030,Canada,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,5,76.98,0.2117,60.683334,0.3334
2018-02-01,2018,90023030,Canada,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,1,15.40,0.2117,12.139820,0.3296
2018-04-01,2018,90023030,Canada,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,1,15.40,0.2117,12.139820,0.2901
2018-05-01,2018,90023030,Canada,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,5,76.98,0.2117,60.683334,0.3233
2018-06-01,2018,90023030,Canada,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,1,15.40,0.2117,12.139820,0.3095
2018-08-01,2018,90023030,Canada,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,1,15.40,0.2117,12.139820,0.3209
2017-09-01,2018,90023029,Canada,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,2,30.79,0.2171,24.105491,0.3051
2017-10-01,2018,90023029,Canada,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,4,61.58,0.2171,48.210982,0.3053
2017-11-01,2018,90023029,Canada,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,3,46.19,0.2171,36.162151,0.3608
2018-01-01,2018,90023029,Canada,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,1,15.40,0.2171,12.056660,0.2672
2018-02-01,2018,90023029,Canada,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,4,61.58,0.2171,48.210982,0.2803
2018-03-01,2018,90023029,Canada,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,2,30.79,0.2171,24.105491,0.2958
2018-05-01,2018,90023029,Canada,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,1,15.40,0.2171,12.056660,0.3076
2018-06-01,2018,90023029,Canada,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,2,30.79,0.2171,24.105491,0.2904
